Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
13.630771160125732	58	135.0	11.045361	152.0	116.0	135.0	11.045361017187261	1080	64723
13.859392166137695	59	133.375	10.827482	153.0	121.0	133.375	10.827482394351884	1067	65790
14.094933986663818	60	138.125	12.170019	159.0	122.0	138.125	12.170019515185668	1105	66895
14.320158004760742	61	132.25	12.47748	155.0	115.0	132.25	12.47747971346778	1058	67953
14.526857137680054	62	126.5	15.05822	147.0	104.0	126.5	15.058220346375597	1012	68965
14.750914096832275	63	120.888885	8.143769	133.0	113.0	120.88888888888889	8.143769867470532	1088	70053
14.97235918045044	64	118.0	11.6332855	136.0	97.0	118.0	11.633285577743433	1062	71115
15.188730001449585	65	116.0	11.460075	139.0	103.0	116.0	11.460075625114056	1044	72159
15.398082971572876	66	112.0	16.653328	139.0	74.0	112.0	16.65332799572906	1008	73167
15.609565019607544	67	127.375	15.434843	158.0	107.0	127.375	15.434842888737158	1019	74186
15.834396123886108	68	120.888885	12.982419	141.0	98.0	120.88888888888889	12.982419261314249	1088	75274
16.051688194274902	69	118.44444	10.914935	141.0	101.0	118.44444444444444	10.91493483577139	1066	76340
16.25841999053955	70	112.666664	15.333333	146.0	83.0	112.66666666666667	15.333333333333334	1014	77354
16.488526105880737	71	122.77778	16.06084	155.0	104.0	122.77777777777777	16.06084111383805	1105	78459
16.689313173294067	72	125.25	14.015616	157.0	111.0	125.25	14.01561629040978	1002	79461
16.89425015449524	73	128.25	16.588776	162.0	100.0	128.25	16.588776326179094	1026	80487
17.119744062423706	74	124.22222	18.010971	151.0	93.0	124.22222222222223	18.010970593735227	1118	81605
17.35370707511902	75	128.77777	13.982352	160.0	113.0	128.77777777777777	13.98235219265722	1159	82764
17.575206995010376	76	121.55556	9.833176	138.0	107.0	121.55555555555556	9.833176395483372	1094	83858
17.77955412864685	77	127.375	12.051323	153.0	111.0	127.375	12.051322541530451	1019	84877
17.99426007270813	78	132.125	22.491318	181.0	110.0	132.125	22.49131776930823	1057	85934
18.206778049468994	79	127.5	13.407087	147.0	111.0	127.5	13.407087677791923	1020	86954
18.420746088027954	80	129.0	17.45709	172.0	112.0	129.0	17.45709025009609	1032	87986
18.635088205337524	81	129.875	9.917629	143.0	115.0	129.875	9.917629505078319	1039	89025
18.850112199783325	82	129.25	10.133484	144.0	109.0	129.25	10.133484099755622	1034	90059
19.070043087005615	83	132.625	13.564084	155.0	114.0	132.625	13.564084008881691	1061	91120
19.280137062072754	84	144.42857	25.00204	188.0	116.0	144.42857142857142	25.002040733034708	1011	92131
19.49400806427002	85	147.0	26.752836	189.0	112.0	147.0	26.752836965717965	1029	93160
19.7064471244812	86	146.42857	18.615334	181.0	127.0	146.42857142857142	18.615332719156484	1025	94185
19.934285163879395	87	121.666664	8.02773	136.0	114.0	121.66666666666667	8.027729719194863	1095	95280
20.143068075180054	88	111.44444	12.579623	140.0	91.0	111.44444444444444	12.579622950639138	1003	96283
20.372676134109497	89	121.666664	27.872726	177.0	89.0	121.66666666666667	27.872726613822497	1095	97378
20.590496063232422	90	116.0	25.768198	165.0	91.0	116.0	25.768197453450252	1044	98422
20.812554121017456	91	133.875	33.29203	200.0	93.0	133.875	33.29203170429825	1071	99493
21.02693200111389	92	145.71428	27.98323	200.0	113.0	145.71428571428572	27.983231130264354	1020	100513
21.248314142227173	93	133.5	31.200962	186.0	95.0	133.5	31.20096152364539	1068	101581
21.472657203674316	94	155.85715	18.019264	191.0	134.0	155.85714285714286	18.019264067964052	1091	102672
21.68956708908081	95	149.28572	17.160706	178.0	125.0	149.28571428571428	17.16070499479457	1045	103717
21.91956615447998	96	157.0	29.427877	200.0	130.0	157.0	29.427877939124322	1099	104816
22.148131132125854	97	156.0	30.061842	200.0	117.0	156.0	30.061841023368572	1092	105908
22.351840019226074	98	147.14285	10.287698	158.0	129.0	147.14285714285714	10.287698221365048	1030	106938
22.55399799346924	99	149.14285	24.925194	200.0	121.0	149.14285714285714	24.925194204307598	1044	107982
